record_id,region,road_segment,traffic_volume,avg_speed_mph,travel_time_min,congestion_index,incident_reports,weather_condition,day_period
1,Illinois,A1,4015,71,62,0.86,0,Rain,Evening
2,Illinois,B1,495,25,116,0.46,0,Fog,Morning
3,Florida,C2,4347,15,102,0.46,0,Fog,Morning
4,California,C1,1457,60,28,0.89,0,Rain,Afternoon
5,California,C2,4309,15,73,0.52,1,Snow,Evening
6,Texas,A2,1961,56,45,0.86,1,Rain,Night
7,Illinois,B1,4114,76,100,0.65,0,Fog,Morning
8,Florida,A1,3545,77,71,0.44,0,Fog,Night
9,California,C1,3210,83,104,0.43,0,Rain,Evening
10,Florida,C1,4527,58,67,0.38,1,Snow,Evening
11,Illinois,B2,1198,48,11,0.45,1,Fog,Night
12,Illinois,A2,4088,41,5,0.74,0,Rain,Morning
13,New York,A2,1304,31,106,0.4,0,Clear,Morning
14,Florida,A2,4309,46,77,0.71,0,Rain,Evening
15,Florida,B1,3606,60,76,0.11,2,Snow,Afternoon
16,Texas,C2,2164,82,32,0.46,2,Snow,Morning
17,Florida,A1,4498,52,45,0.74,0,Snow,Night
18,Texas,B1,3219,17,109,0.47,0,Rain,Evening
19,Texas,B2,3961,22,102,0.71,0,Snow,Afternoon
20,Illinois,A1,1754,17,108,0.65,0,Clear,Morning
21,California,B2,519,18,69,0.87,0,Rain,Evening
22,Illinois,A2,1673,63,112,0.88,1,Clear,Afternoon
23,Texas,C1,835,69,64,0.91,0,Clear,Evening
24,California,C2,4596,58,72,0.69,0,Snow,Night
25,Texas,B1,2252,29,72,0.46,0,Snow,Night
26,New York,A2,3362,33,32,0.56,1,Rain,Evening
27,Florida,C1,3973,52,112,0.91,1,Rain,Morning
28,Illinois,C1,4951,41,75,0.97,0,Fog,Morning
29,Florida,B2,2849,84,75,0.79,0,Rain,Morning
30,Texas,C2,340,34,13,0.57,0,Snow,Night
31,Illinois,A2,4664,55,64,0.4,0,Snow,Afternoon
32,California,B2,4586,38,64,0.4,0,Clear,Morning
33,Illinois,C2,4995,42,43,0.75,0,Fog,Night
34,California,B1,3147,57,35,0.7,0,Fog,Afternoon
35,Texas,C2,2425,71,99,0.36,0,Clear,Night
36,Florida,A1,1551,68,85,0.39,0,Rain,Afternoon
37,Illinois,A1,4389,34,33,0.7,1,Fog,Night
38,Florida,A2,2603,55,6,0.35,2,Snow,Morning
39,New York,B1,4888,70,78,0.49,1,Rain,Morning
40,Illinois,B2,2074,22,6,0.36,1,Rain,Night
41,Illinois,B1,2307,71,29,0.19,0,Clear,Morning
42,Illinois,A1,4704,70,23,0.85,0,Snow,Evening
43,New York,A1,4243,22,108,0.84,1,Snow,Morning
44,Texas,B2,485,60,44,0.56,1,Fog,Night
45,New York,B2,2701,84,78,0.25,0,Snow,Night
46,Texas,A2,3185,60,114,0.16,0,Snow,Evening
47,Illinois,B1,4718,73,5,0.69,0,Clear,Afternoon
48,Illinois,B1,3138,80,22,0.69,0,Fog,Afternoon
49,Florida,A2,254,78,68,0.32,1,Snow,Afternoon
50,Texas,C1,1954,21,55,0.2,0,Rain,Evening
51,California,B2,3606,17,17,0.38,0,Snow,Night
52,New York,B1,3173,63,35,0.16,0,Fog,Evening
53,California,B1,3533,53,51,0.69,0,Clear,Morning
54,California,B1,724,16,71,0.19,1,Fog,Morning
55,New York,C1,2488,41,105,0.92,0,Snow,Night
56,Florida,B1,2078,49,7,0.65,1,Clear,Night
57,Illinois,B1,1440,29,104,0.33,0,Fog,Evening
58,Florida,A1,400,18,112,0.9,0,Snow,Night
59,Florida,B2,857,54,41,0.21,0,Clear,Night
60,New York,C2,3475,30,30,0.3,3,Clear,Night
61,New York,B2,4281,79,118,0.39,0,Rain,Night
62,Florida,A2,1733,17,11,0.16,0,Snow,Evening
63,Florida,C2,817,17,40,0.14,1,Rain,Afternoon
64,New York,B2,881,23,49,0.69,1,Snow,Evening
65,California,B1,4782,78,63,0.7,1,Clear,Morning
66,Texas,C2,242,58,39,0.2,0,Clear,Morning
67,Texas,B1,224,28,74,0.67,1,Clear,Evening
68,New York,A1,2989,44,66,0.12,0,Clear,Night
69,Florida,C2,4826,84,102,0.41,0,Snow,Afternoon
70,Texas,A2,3997,57,84,0.55,0,Fog,Afternoon
71,Illinois,C2,1050,39,92,0.52,0,Rain,Morning
72,Illinois,C2,310,35,53,0.94,1,Rain,Night
73,Florida,B2,4889,80,37,0.42,0,Snow,Evening
74,California,A1,639,45,93,0.14,0,Fog,Night
75,California,B1,1955,73,35,0.23,0,Snow,Evening
76,New York,C1,2163,72,10,0.49,1,Fog,Morning
77,Florida,A2,260,53,81,0.54,0,Fog,Morning
78,Illinois,C2,3231,17,103,0.48,1,Clear,Evening
79,Illinois,B1,588,73,39,0.54,0,Snow,Night
80,Illinois,C1,3385,18,116,0.32,0,Rain,Morning
81,Florida,C2,2275,49,112,0.68,0,Snow,Evening
82,California,A2,2168,56,106,0.33,0,Rain,Night
83,New York,C2,3108,32,76,0.17,0,Snow,Afternoon
84,Illinois,C1,4990,22,34,0.38,0,Clear,Night
85,Illinois,A1,507,52,41,0.12,1,Clear,Afternoon
86,New York,C1,2371,17,34,0.22,0,Fog,Afternoon
87,California,B1,3783,56,103,0.46,0,Fog,Afternoon
88,Florida,C2,1919,68,59,0.19,3,Snow,Night
89,Texas,C1,1950,22,56,0.14,0,Rain,Night
90,Illinois,B1,3056,44,75,0.84,0,Rain,Morning
91,Illinois,C1,1120,44,5,0.42,0,Snow,Afternoon
92,California,C1,2911,25,84,0.1,2,Rain,Afternoon
93,Texas,B1,4166,34,21,0.93,1,Fog,Night
94,Illinois,C1,4570,63,53,0.14,0,Fog,Evening
95,Texas,B2,4314,79,25,0.62,1,Snow,Afternoon
96,Florida,C1,4761,25,102,0.73,2,Fog,Night
97,Florida,B2,674,51,36,0.37,0,Rain,Morning
98,Illinois,B2,3638,72,109,0.58,0,Snow,Night
99,Texas,B2,2813,60,26,0.71,2,Clear,Morning
100,California,B1,273,58,56,0.8,0,Snow,Night
101,Florida,A1,102,76,114,0.58,0,Fog,Morning
102,Illinois,C2,336,56,42,0.23,1,Fog,Night
103,New York,C2,154,74,99,0.17,0,Fog,Night
104,Texas,C1,3541,37,27,0.47,0,Snow,Night
105,New York,A2,1066,50,27,0.52,0,Clear,Afternoon
106,California,A1,1953,69,102,0.74,0,Rain,Morning
107,Illinois,C2,488,58,83,0.94,0,Clear,Morning
108,New York,C1,2139,81,35,0.11,1,Fog,Night
109,Texas,A1,2611,50,102,0.23,0,Snow,Night
110,Illinois,B2,2616,29,116,0.7,0,Snow,Afternoon
111,California,C1,1150,17,99,0.57,0,Clear,Afternoon
112,Texas,B2,4690,29,9,0.21,0,Snow,Evening
113,New York,A1,4684,70,38,0.4,1,Fog,Afternoon
114,Texas,C2,4967,42,6,0.2,0,Clear,Night
115,Illinois,B2,4212,27,21,0.44,2,Fog,Evening
116,New York,A2,3814,28,87,0.26,0,Fog,Night
117,Florida,A2,4177,82,15,0.18,0,Clear,Evening
118,Texas,C2,3227,84,45,0.95,1,Fog,Morning
119,Texas,A2,4456,27,51,0.86,0,Clear,Night
120,Texas,B2,1707,76,37,0.85,0,Snow,Morning
121,Illinois,A1,4270,15,26,0.6,0,Fog,Morning
122,Florida,C2,4210,23,75,0.44,0,Snow,Evening
123,Texas,B1,3501,55,28,0.55,0,Clear,Morning
124,Illinois,A1,4668,73,116,0.78,0,Snow,Afternoon
125,California,A2,3829,31,74,0.52,0,Fog,Night
126,Florida,A2,968,71,49,0.68,0,Rain,Night
127,Florida,B1,3044,52,100,0.15,0,Snow,Afternoon
128,Florida,C2,4245,34,40,0.79,0,Rain,Night
129,New York,C2,3465,24,13,0.15,0,Clear,Night
130,California,C2,3131,59,82,0.37,1,Fog,Morning
131,Illinois,A2,4586,44,43,0.61,0,Clear,Night
132,California,C2,4977,69,62,0.15,0,Fog,Morning
133,New York,C2,3238,70,38,0.87,0,Clear,Night
134,Illinois,C2,1742,58,90,0.96,0,Clear,Night
135,New York,B1,3742,36,68,0.62,1,Snow,Morning
136,New York,C2,4607,81,27,0.7,0,Snow,Morning
137,California,C2,417,58,35,0.3,0,Rain,Night
138,Florida,B2,1072,84,107,0.43,0,Clear,Morning
139,California,C2,3984,62,37,0.53,0,Clear,Morning
140,Florida,C1,4963,28,86,0.33,0,Snow,Morning
141,Texas,B1,2002,15,28,0.31,0,Fog,Afternoon
142,Texas,C1,3259,46,19,0.99,1,Clear,Night
143,California,C1,3237,15,97,0.67,0,Rain,Afternoon
144,Illinois,B2,118,58,46,0.26,0,Snow,Night
145,New York,C1,4078,33,84,0.44,0,Clear,Afternoon
146,Florida,B2,3602,75,62,0.64,0,Clear,Night
147,Florida,C1,1367,68,47,0.9,0,Snow,Evening
148,New York,A1,1286,50,33,0.96,0,Rain,Afternoon
149,Florida,C2,1480,30,102,0.51,0,Snow,Night
150,New York,A1,4873,43,105,0.9,1,Snow,Night
151,New York,A2,1944,68,72,0.72,0,Fog,Morning
152,Texas,C2,2269,47,100,0.13,0,Snow,Evening
153,Illinois,C2,175,59,68,0.51,0,Fog,Afternoon
154,New York,A2,799,49,61,0.5,0,Fog,Afternoon
155,Illinois,A2,455,64,57,0.81,0,Fog,Afternoon
156,Texas,A1,3669,38,16,0.99,0,Rain,Afternoon
157,Illinois,B2,1720,39,101,0.71,0,Snow,Evening
158,Texas,A1,3354,63,23,0.24,0,Snow,Afternoon
159,Illinois,B1,532,62,53,0.72,0,Snow,Morning
160,Texas,A2,4805,36,17,0.44,0,Fog,Evening
161,California,B2,1984,73,111,0.91,2,Fog,Evening
162,Texas,B2,2226,34,25,0.6,2,Rain,Morning
163,California,A1,3567,65,108,0.48,0,Snow,Night
164,California,A1,1822,22,35,0.99,0,Snow,Morning
165,New York,C2,1884,18,31,0.98,1,Clear,Evening
166,California,A2,4184,77,71,0.47,1,Rain,Morning
167,Texas,A2,1183,16,116,0.47,0,Snow,Night
168,New York,C2,1422,67,98,0.91,0,Rain,Afternoon
169,Florida,B1,2166,53,59,0.22,0,Snow,Afternoon
170,California,B2,2397,72,11,0.69,0,Snow,Night
171,New York,A2,4086,59,12,0.9,0,Rain,Morning
172,Illinois,C1,3159,74,77,0.27,0,Fog,Night
173,New York,A2,1614,19,72,0.98,0,Fog,Afternoon
174,Florida,A1,413,57,18,0.22,0,Snow,Morning
175,Texas,C2,214,55,42,0.89,0,Clear,Evening
176,California,B1,3469,30,49,0.8,0,Rain,Night
